ADIA,20210311,0.015,0.015,0.015,0.015,111500
ADMLF,20210311,1.69,1.74,1.66,1.66,2900
ADMQ,20210311,0.079,0.08,0.0721,0.0744,479900
ADMT,20210311,0.1103,0.1175,0.1012,0.1012,53200
ADNY,20210311,0.022,0.0263,0.021,0.022,746700
ADOM,20210311,0.4698,0.4989,0.4502,0.4797,550600
ADPXY,20210311,20.932,20.932,20.932,20.932,100
ADRNY,20210311,27.56,27.6038,27.45,27.53,71000
ADRZY,20210311,9.679,9.679,9.514,9.616,700
ADSV,20210311,0.0095,0.011,0.0073,0.0107,3310600
ADTC,20210311,0.0006,0.0006,0.0006,0.0006,10000
ADTFF,20210311,0.0786,0.0786,0.0749,0.0786,14000
ADTM,20210311,0.0009,0.001,0.0008,0.0009,47648800
ADVT,20210311,0.002,0.002,0.002,0.002,2900
ADVZF,20210311,0.68,0.6914,0.68,0.6914,3700
ADXDF,20210311,0.021,0.021,0.02,0.02,31200
ADYEY,20210311,47.31,47.9475,46.8806,47.7,297600
ADYX,20210311,0.2424,0.2424,0.2424,0.2424,200
ADYYF,20210311,2360,2400,2349,2399.92,1700
AEDC,20210311,0.003,0.003,0.003,0.003,10000
AEEI,20210311,0.18,0.19,0.18,0.19,5900
AEGG,20210311,0.0218,0.0218,0.0218,0.0218,3000
AEGXF,20210311,15.75,15.92,15.75,15.92,300
AEGY,20210311,0.0003,0.0004,0.0003,0.0003,5132000
AELTF,20210311,0.65,0.65,0.65,0.65,100
AEMC,20210311,0.065,0.065,0.065,0.065,2500
AEOXF,20210311,126.3909,126.3909,126.3909,126.3909,100
AEPT,20210311,0.0079,0.0081,0.003,0.004,28272500
AERG,20210311,0.6999,0.6999,0.61,0.64,130800
AERN,20210311,0.0003,0.0003,0.0003,0.0003,100000
AERS,20210311,0.015,0.0161,0.0115,0.0161,501600
AESEW,20210311,0.37,0.42,0.37,0.42,72400
AESO,20210311,0.0161,0.0161,0.0161,0.0161,10000
AESUU,20210311,104.25,105.25,104.25,105.25,155900
AETUF,20210311,6.9,6.9,6.645,6.7375,35100
AEXAY,20210311,15.52,15.6,15.4,15.59,4900
AEXE,20210311,0.0008,0.001,0.0007,0.001,42869300
AEXFF,20210311,0.015,0.015,0.015,0.015,2000
AFBG,20210311,0.04,0.04,0.0205,0.03,12900
AFDG,20210311,0.18,0.18,0.1635,0.174,36600
AFFS,20210311,20.2,20.5,20.2,20.25,3300
AFFT,20210311,20.4,20.7,20.4,20.7,1300
AFFU,20210311,0.41,0.468,0.4,0.4,57400
AFFY,20210311,0.0745,0.0818,0.062,0.07,139300
AFGYF,20210311,0.695,0.7634,0.695,0.7383,19500
AFHBL,20210311,5.35,6,5.24,6,6300
AFHIF,20210311,0.2,0.215,0.2,0.21,189300
AFLYY,20210311,6.2,6.21,6.12,6.17,54200
AFMJF,20210311,0.4967,0.4967,0.474,0.486,216100
AFML,20210311,0.012,0.012,0.01,0.01,24000
AFOM,20210311,0.0011,0.0011,0.0009,0.001,56056300
AFPW,20210311,0.0024,0.0029,0.0022,0.0026,48672700
AFSIA,20210311,17.3,17.3,17.3,17.3,800
AFSIB,20210311,17.56,17.56,17.56,17.56,200
AFSIC,20210311,18.45,19,18.15,18.44,3400
AFSIM,20210311,18.5,18.7,18.5,18.5,1100
AFSIN,20210311,17.25,17.25,17.03,17.03,3700
AFSIP,20210311,18.5,19,18,18.3,8800
AFTC,20210311,0.001,0.0012,0.0008,0.0012,1153300
AFTM,20210311,0.0062,0.0062,0.0062,0.0062,500
AFTPF,20210311,85.526,89.2,85.52,89.2,8900
AFTPY,20210311,85.77,89.39,85.593,88.945,24200
AFYG,20210311,0.048,0.048,0.048,0.048,4900
AGATF,20210311,24.0101,24.0101,24.0101,24.0101,400
AGAUF,20210311,0.11,0.11,0.105,0.108,71800
AGCBF,20210311,0.2372,0.2397,0.2307,0.231,33300
AGCCF,20210311,0.19,0.19,0.19,0.19,2500
AGCZ,20210311,0.013,0.013,0.013,0.013,7000
AGDY,20210311,0.049,0.049,0.0449,0.049,18200
AGESY,20210311,59.04,59.35,59.04,59.24,1500
AGFAF,20210311,0.04,0.04,0.036,0.038,1584500
AGFMF,20210311,5.75,5.75,5.75,5.75,100
AGGFF,20210311,0.1091,0.1126,0.1025,0.1025,34700
AGGI,20210311,0.018,0.018,0.0114,0.0116,228000
AGGZF,20210311,31.1416,31.42,31.1416,31.42,500
AGIN,20210311,0.05,0.05,0.045,0.0475,130600
AGLAF,20210311,0.236,0.236,0.236,0.236,300
AGLDF,20210311,0.1612,0.1612,0.1612,0.1612,400
AGLXY,20210311,7.7,7.7,7.5,7.5,2800
AGNMF,20210311,0.29,0.29,0.29,0.29,10000
AGNPF,20210311,0.245,0.25,0.2301,0.2418,375600
AGOL,20210311,0.2,0.24,0.2,0.24,46700
AGPIF,20210311,1.91,1.91,1.91,1.91,1000
AGPPF,20210311,140,140.05,137.81,139.5,400
AGRDF,20210311,0.2,0.2227,0.175,0.2219,42500
AGRPY,20210311,17.37,18.26,17.37,18.26,1700
AGRS,20210311,0.0081,0.0081,0.0081,0.0081,1000
AGSO,20210311,0.08,0.155,0.08,0.1,336400
AGTK,20210311,0.023,0.023,0.02,0.0215,1493000
AGTX,20210311,1.28,1.28,1.28,1.28,1000
AGUNF,20210311,0.0111,0.0111,0.0111,0.0111,6000
AGXKF,20210311,2.09,2.15,2.09,2.095,6200
AGYP,20210311,0.47,0.479,0.3836,0.459,463400
AHAD,20210311,0.0103,0.0134,0.0103,0.0103,55500
AHAG,20210311,0.064,0.074,0.035,0.035,24000
AHCCF,20210311,3.76,3.76,3.72,3.7299,7400
AHCHY,20210311,32.71,33.09,32.71,33.038,13700
AHELF,20210311,0.5375,0.5375,0.3805,0.3805,400
AHEXY,20210311,33.92,33.98,33.73,33.94,15500
